Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;max, 1 gång per dygn;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-01-01 00:00:00;2019-09-25 08:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-05-17 18:00:01;2019-05-18 18:00:00;2019-05-18;20.4;Y;;Data från senaste fyra månaderna
2019-05-18 18:00:01;2019-05-19 18:00:00;2019-05-19;16.3;Y;;Tidsperiod (fr.o.m.) = 2019-05-18 00:00:01 (UTC)
2019-05-19 18:00:01;2019-05-20 18:00:00;2019-05-20;23.5;Y;;Tidsperiod (t.o.m.) = 2019-09-25 08:00:00 (UTC)
2019-05-20 18:00:01;2019-05-21 18:00:00;2019-05-21;23.9;Y;;Samplingstid = 24 timmar
2019-05-21 18:00:01;2019-05-22 18:00:00;2019-05-22;26.6;Y;;
2019-05-22 18:00:01;2019-05-23 18:00:00;2019-05-23;19.9;Y;;Kvalitetskoderna:
2019-05-23 18:00:01;2019-05-24 18:00:00;2019-05-24;18.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2019-05-24 18:00:01;2019-05-25 18:00:00;2019-05-25;16.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2019-05-25 18:00:01;2019-05-26 18:00:00;2019-05-26;14.4;Y;;
2019-05-26 18:00:01;2019-05-27 18:00:00;2019-05-27;13.4;Y;;Orsaker till saknade data:
2019-05-27 18:00:01;2019-05-28 18:00:00;2019-05-28;18.2;Y;;  stationen eller givaren har varit ur funktion.
2019-05-28 18:00:01;2019-05-29 18:00:00;2019-05-29;15.1;Y
2019-05-29 18:00:01;2019-05-30 18:00:00;2019-05-30;15.8;Y
2019-05-30 18:00:01;2019-05-31 18:00:00;2019-05-31;17.9;Y
2019-05-31 18:00:01;2019-06-01 18:00:00;2019-06-01;16.2;Y
2019-06-01 18:00:01;2019-06-02 18:00:00;2019-06-02;20.1;Y
2019-06-02 18:00:01;2019-06-03 18:00:00;2019-06-03;18.9;Y
2019-06-03 18:00:01;2019-06-04 18:00:00;2019-06-04;23.5;Y
2019-06-04 18:00:01;2019-06-05 18:00:00;2019-06-05;27.1;Y
2019-06-05 18:00:01;2019-06-06 18:00:00;2019-06-06;28.4;Y
2019-06-06 18:00:01;2019-06-07 18:00:00;2019-06-07;27.2;Y
2019-06-07 18:00:01;2019-06-08 18:00:00;2019-06-08;27.0;Y
2019-06-08 18:00:01;2019-06-09 18:00:00;2019-06-09;21.6;Y
2019-06-09 18:00:01;2019-06-10 18:00:00;2019-06-10;22.6;Y
2019-06-10 18:00:01;2019-06-11 18:00:00;2019-06-11;20.2;Y
2019-06-11 18:00:01;2019-06-12 18:00:00;2019-06-12;16.9;Y
2019-06-12 18:00:01;2019-06-13 18:00:00;2019-06-13;15.9;Y
2019-06-13 18:00:01;2019-06-14 18:00:00;2019-06-14;23.0;Y
2019-06-14 18:00:01;2019-06-15 18:00:00;2019-06-15;27.1;Y
2019-06-15 18:00:01;2019-06-16 18:00:00;2019-06-16;27.6;Y
2019-06-16 18:00:01;2019-06-17 18:00:00;2019-06-17;23.7;Y
2019-06-17 18:00:01;2019-06-18 18:00:00;2019-06-18;25.7;Y
2019-06-18 18:00:01;2019-06-19 18:00:00;2019-06-19;28.3;Y
2019-06-19 18:00:01;2019-06-20 18:00:00;2019-06-20;28.5;Y
2019-06-20 18:00:01;2019-06-21 18:00:00;2019-06-21;24.8;Y
2019-06-21 18:00:01;2019-06-22 18:00:00;2019-06-22;22.1;Y
2019-06-22 18:00:01;2019-06-23 18:00:00;2019-06-23;24.3;Y
2019-06-23 18:00:01;2019-06-24 18:00:00;2019-06-24;23.9;Y
2019-06-24 18:00:01;2019-06-25 18:00:00;2019-06-25;22.2;Y
2019-06-25 18:00:01;2019-06-26 18:00:00;2019-06-26;18.3;Y
2019-06-26 18:00:01;2019-06-27 18:00:00;2019-06-27;20.8;Y
2019-06-27 18:00:01;2019-06-28 18:00:00;2019-06-28;21.1;Y
2019-06-28 18:00:01;2019-06-29 18:00:00;2019-06-29;26.8;Y
2019-06-29 18:00:01;2019-06-30 18:00:00;2019-06-30;26.9;Y
2019-06-30 18:00:01;2019-07-01 18:00:00;2019-07-01;25.0;Y
2019-07-01 18:00:01;2019-07-02 18:00:00;2019-07-02;19.6;Y
2019-07-02 18:00:01;2019-07-03 18:00:00;2019-07-03;19.5;Y
